position	shape	variant	solved	seconds	requests	prompt	completion
1	board	v1	1	5	1	0	0
2	spend	v1	1	14	2	0	0
3	suite	v1	1	7	2	0	0
4	surface	v1	1	11	1	0	0
5	tlc	v1	1	16	2	0	0
6	board	v2	1	6	1	0	0
7	spend	v2	1	10	4	0	0
8	suite	v2	1	15	1	0	0
9	surface	v2	1	10	1	0	0
10	tlc	v2	1	15	1	0	0
11	board	v3	1	6	1	0	0
12	spend	v3	1	17	4	0	0
13	suite	v3	1	8	1	0	0
14	surface	v3	1	14	1	0	0
15	tlc	v3	1	23	1	0	0
16	board	v4	1	6	1	0	0
17	spend	v4	1	9	1	0	0
18	suite	v4	1	13	1	0	0
19	surface	v4	1	9	1	0	0
20	tlc	v4	1	14	3	0	0
21	board	v5	1	5	1	0	0
22	spend	v5	1	10	2	0	0
23	suite	v5	1	5	1	0	0
24	surface	v5	1	14	1	0	0
25	tlc	v5	1	10	1	0	0
