arm	family	repeat	position	task	solved	seconds	requests	toolcalls	prompt	completion	hit	miss
AN	f3-agent-surface	1	1	t1	1	15	8	10	34300	1087	30464	3836
AN	f3-agent-surface	1	2	t2	1	15	7	10	30016	1207	26112	3904
AN	f3-agent-surface	1	3	t3	1	12	6	9	22589	1000	19072	3517
AN	f3-agent-surface	1	4	t4	1	16	7	9	29270	1441	25728	3542
AN	f3-agent-surface	1	5	t5	1	23	9	14	59624	1972	52608	7016
B	f3-agent-surface	1	1	t1	1	15	7	7	26344	1217	22912	3432
B	f3-agent-surface	1	2	t2	1	13	7	11	28882	946	24960	3922
B	f3-agent-surface	1	3	t3	1	12	7	10	27314	895	23552	3762
B	f3-agent-surface	1	4	t4	1	15	8	9	32570	1219	28800	3770
B	f3-agent-surface	1	5	t5	1	15	7	10	29166	1335	25344	3822
AN	f3-agent-surface	2	1	t1	1	16	8	10	34076	1449	30208	3868
AN	f3-agent-surface	2	2	t2	1	14	7	11	29374	1100	25472	3902
AN	f3-agent-surface	2	3	t3	1	12	6	9	22628	905	19328	3300
AN	f3-agent-surface	2	4	t4	1	12	6	8	23577	929	19840	3737
AN	f3-agent-surface	2	5	t5	1	21	8	13	37613	2003	33408	4205
B	f3-agent-surface	2	1	t1	1	13	7	7	26196	1106	22784	3412
B	f3-agent-surface	2	2	t2	1	14	8	9	31597	971	27776	3821
B	f3-agent-surface	2	3	t3	1	13	7	11	27875	1021	24064	3811
B	f3-agent-surface	2	4	t4	1	20	8	9	34839	1634	31104	3735
B	f3-agent-surface	2	5	t5	1	19	7	10	29811	1291	25856	3955
AN	f3-agent-surface	3	1	t1	1	19	8	10	33149	1214	29312	3837
AN	f3-agent-surface	3	2	t2	1	19	9	12	38868	1148	34816	4052
AN	f3-agent-surface	3	3	t3	1	14	7	11	28272	1111	24832	3440
AN	f3-agent-surface	3	4	t4	1	17	7	8	28811	1299	25216	3595
AN	f3-agent-surface	3	5	t5	1	21	9	11	39791	1694	35712	4079
B	f3-agent-surface	3	1	t1	1	19	8	10	33646	1444	29824	3822
B	f3-agent-surface	3	2	t2	1	15	8	11	31841	1071	27776	4065
B	f3-agent-surface	3	3	t3	1	14	6	10	23740	1177	19968	3772
B	f3-agent-surface	3	4	t4	1	16	8	9	32461	1253	28672	3789
B	f3-agent-surface	3	5	t5	1	15	7	10	29561	1308	25472	4089
AN	f1-paren-balance	1	1	t1	1	9	5	6	17921	591	14592	3329
AN	f1-paren-balance	1	2	t2	1	10	6	7	20905	621	17536	3369
AN	f1-paren-balance	1	3	t3	1	13	6	9	24642	1087	20736	3906
AN	f1-paren-balance	1	4	t4	1	9	5	6	17968	624	14592	3376
AN	f1-paren-balance	1	5	t5	1	7	4	4	13931	548	10880	3051
B	f1-paren-balance	1	1	t1	1	9	6	7	21916	668	18048	3868
B	f1-paren-balance	1	2	t2	1	7	4	4	12826	478	9856	2970
B	f1-paren-balance	1	3	t3	1	9	5	6	18389	764	14976	3413
B	f1-paren-balance	1	4	t4	1	16	9	10	35796	1010	32000	3796
B	f1-paren-balance	1	5	t5	1	9	5	5	18021	628	14336	3685
AN	f1-paren-balance	2	1	t1	1	9	5	6	17806	652	14464	3342
AN	f1-paren-balance	2	2	t2	1	9	5	8	18812	614	15104	3708
AN	f1-paren-balance	2	3	t3	1	10	5	7	18711	794	14976	3735
AN	f1-paren-balance	2	4	t4	1	7	4	4	13020	493	10240	2780
AN	f1-paren-balance	2	5	t5	1	10	5	6	20293	928	16512	3781
B	f1-paren-balance	2	1	t1	1	8	5	6	17564	633	13952	3612
B	f1-paren-balance	2	2	t2	1	6	4	4	12824	465	9856	2968
B	f1-paren-balance	2	3	t3	1	11	5	7	19176	1036	15488	3688
B	f1-paren-balance	2	4	t4	1	17	10	9	37193	1285	33536	3657
B	f1-paren-balance	2	5	t5	1	9	5	6	19117	581	15360	3757
AN	f1-paren-balance	3	1	t1	1	10	6	7	22223	637	18560	3663
AN	f1-paren-balance	3	2	t2	1	8	5	6	17643	617	14208	3435
AN	f1-paren-balance	3	3	t3	1	10	5	8	19918	983	16128	3790
AN	f1-paren-balance	3	4	t4	1	8	5	6	17969	571	14592	3377
AN	f1-paren-balance	3	5	t5	1	11	5	6	20146	974	16384	3762
B	f1-paren-balance	3	1	t1	1	9	5	7	17662	666	14208	3454
B	f1-paren-balance	3	2	t2	1	8	5	6	17652	589	14208	3444
B	f1-paren-balance	3	3	t3	1	10	5	6	18474	866	14976	3498
B	f1-paren-balance	3	4	t4	1	8	5	6	17964	547	14336	3628
B	f1-paren-balance	3	5	t5	1	9	5	6	19356	690	15360	3996
AN	f4-tlc-verdicts	1	1	t1	1	8	5	7	19436	435	15616	3820
AN	f4-tlc-verdicts	1	2	t2	1	17	7	15	33930	1696	28800	5130
AN	f4-tlc-verdicts	1	3	t3	1	8	6	6	20471	502	17280	3191
AN	f4-tlc-verdicts	1	4	t4	1	9	5	5	18750	422	15232	3518
AN	f4-tlc-verdicts	1	5	t5	1	21	8	17	39124	2240	34048	5076
B	f4-tlc-verdicts	1	1	t1	1	8	5	5	16873	410	13568	3305
B	f4-tlc-verdicts	1	2	t2	1	13	8	11	34420	1032	29440	4980
B	f4-tlc-verdicts	1	3	t3	1	7	5	6	19301	471	15488	3813
B	f4-tlc-verdicts	1	4	t4	1	6	4	4	13138	335	10112	3026
B	f4-tlc-verdicts	1	5	t5	1	15	6	12	28478	1675	23680	4798
AN	f4-tlc-verdicts	2	1	t1	1	5	4	4	13276	344	10240	3036
AN	f4-tlc-verdicts	2	2	t2	1	15	7	15	33356	1413	28416	4940
AN	f4-tlc-verdicts	2	3	t3	1	9	6	6	22002	616	18432	3570
AN	f4-tlc-verdicts	2	4	t4	1	9	6	7	22794	481	19072	3722
AN	f4-tlc-verdicts	2	5	t5	1	17	6	12	29306	1975	24448	4858
B	f4-tlc-verdicts	2	1	t1	1	6	4	3	13594	313	10240	3354
B	f4-tlc-verdicts	2	2	t2	1	17	9	13	41512	1460	36224	5288
B	f4-tlc-verdicts	2	3	t3	1	5	4	4	13059	307	9984	3075
B	f4-tlc-verdicts	2	4	t4	1	8	5	5	17902	650	14464	3438
B	f4-tlc-verdicts	2	5	t5	1	15	6	11	27540	1415	22656	4884
AN	f4-tlc-verdicts	3	1	t1	1	8	6	6	20959	455	17536	3423
AN	f4-tlc-verdicts	3	2	t2	1	11	6	12	26498	987	21760	4738
AN	f4-tlc-verdicts	3	3	t3	1	6	4	4	13374	393	10368	3006
AN	f4-tlc-verdicts	3	4	t4	1	6	4	4	13206	334	10240	2966
AN	f4-tlc-verdicts	3	5	t5	1	12	6	12	26909	1067	22144	4765
B	f4-tlc-verdicts	3	1	t1	1	5	3	2	9813	256	6784	3029
B	f4-tlc-verdicts	3	2	t2	1	12	6	12	26586	1113	21888	4698
B	f4-tlc-verdicts	3	3	t3	1	7	4	4	13215	417	10112	3103
B	f4-tlc-verdicts	3	4	t4	1	7	4	4	13887	355	10624	3263
B	f4-tlc-verdicts	3	5	t5	1	16	7	12	31965	1221	27264	4701
